,INSTNM,MD_FAMINC,RPY_3YR_RT,SAT_AVG,ACTCMMID
0,Alabama A & M University,23553,0.2531554273,849.0,18.0
1,University of Alabama at Birmingham,34489,0.513963161,1125.0,25.0
2,Amridge University,15033.5,0.2307692308,,
3,University of Alabama in Huntsville,44787,0.5485090298,1257.0,28.0
4,Alabama State University,22080.5,0.2185867473,825.0,17.0
5,The University of Alabama,66733.5,0.6019442985,1202.0,27.0
6,Central Alabama Community College,22217,0.2510056315,,
7,Athens State University,29645.5,0.5038167939,,
8,Auburn University at Montgomery,29671.5,0.4418886199,1009.0,22.0
9,Auburn University,72031,0.7239612977,1217.0,27.0
10,Birmingham Southern College,68094.5,0.7559912854,1150.0,26.0
11,Chattahoochee Valley Community College,20813,0.28125,,
12,Concordia College Alabama,15840,0.1565074135,,
13,South University-Montgomery,20000,0.2547585843,,
14,Enterprise State Community College,20456,0.4260416667,,
15,Coastal Alabama Community College,24150,0.3489905233,,
16,Faulkner University,24037.5,0.3081623745,972.0,21.0
17,Gadsden State Community College,16623,,,
18,New Beginning College of Cosmetology,17173,0.4205607477,,
19,George C Wallace Community College-Dothan,15816,,,
20,George C Wallace State Community College-Hanceville,27572,0.4397394137,,
21,George C Wallace State Community College-Selma,14330,,,
22,Herzing University-Birmingham,18321,0.3041105434,,
23,Huntingdon College,37577,0.5146036161,1001.0,22.0
24,Heritage Christian University,36524,0.4827586207,,
25,J. F. Drake State Community and Technical College,13959,,,
26,J F Ingram State Technical College,0,,,
27,Jacksonville State University,35734,0.4210392257,1062.0,23.0
28,Jefferson Davis Community College,16160,,,
29,Jefferson State Community College,25922,0.4485852312,,
30,John C Calhoun State Community College,25186,0.38055344,,
31,Judson College,13220,0.4702970297,1013.0,22.0
32,Lawson State Community College-Birmingham Campus,16187.5,,,
33,University of West Alabama,25552.5,0.3667296786,969.0,21.0
34,Lurleen B Wallace Community College,18213,,,
35,Marion Military Institute,38434,0.5924657534,1066.0,23.0
36,Miles College,17702.5,0.149776928,,
37,University of Mobile,39700,0.4438722966,1029.0,22.0
38,University of Montevallo,43813,0.5173333333,1069.0,23.0
39,Northwest-Shoals Community College,21195,0.3611312545,,
40,University of North Alabama,39436,0.516271595,1028.0,22.0
41,Northeast Alabama Community College,22763,0.4630102041,,
42,Oakwood University,36829,0.2837301587,886.0,19.0
43,Alabama Southern Community College,15379,,,
44,Prince Institute-Southeast,,0.4096385542,,
45,Reid State Technical College,14034,,,
46,Bishop State Community College,14536.5,,,
47,Samford University,87745,0.7767548907,1170.0,26.0
48,Selma University,9948,0.1179361179,,
49,Shelton State Community College,15976.5,,,
50,Snead State Community College,23735,0.3530701754,,
51,University of South Alabama,36199,0.4695919938,1011.0,22.0
52,Spring Hill College,61189,0.6072013093,1121.0,25.0
53,Southeastern Bible College,26052,0.3333333333,970.0,21.0
54,Stillman College,19890,0.2526595745,765.0,16.0
55,Talladega College,18810,0.1789181692,,
56,H Councill Trenholm State Community College,15992,,,
57,Troy University,29641,0.3498531898,992.0,21.0
58,Tuskegee University,35336,0.4960173787,1006.0,22.0
59,United States Sports Academy,29000,0.4436090226,,
60,Bevill State Community College,16911,,,
61,University of Alaska Anchorage,33525,0.5477396726,,
62,Alaska Bible College,42490,PrivacySuppressed,,
63,University of Alaska Fairbanks,35967,0.547265987,1060.0,23.0
64,University of Alaska Southeast,34718,0.5768645358,,
65,Alaska Pacific University,38810,0.5701357466,,
66,AVTEC-Alaska's Institute of Technology,22043,0.686440678,,
67,Charter College,18566,0.3047679059,,
68,Alaska Career College,23113.5,0.4457236842,,
69,Empire Beauty School-Tucson,14099,0.2879914984,,
70,Thunderbird School of Global Management,35851.5,0.5848558828,,
71,American Institute of Trucking,19377,0.4192562404,,
72,Carrington College-Phoenix North,16832.5,0.3293361884,,
73,Carrington College-Mesa,16832.5,0.3293361884,,
74,Carrington College-Tucson,16832.5,0.3293361884,,
75,CollegeAmerica-Flagstaff,13117,0.1169102296,,
76,Arizona Academy of Beauty-East,12607.5,0.2535211268,,
77,Arizona Automotive Institute,16310,0.3413775767,,
78,Brookline College-Phoenix,15003.5,0.2092039801,,
79,Arizona State University-Tempe,35851.5,0.5848558828,1147.0,25.0
80,Arizona Western College,21462.5,0.3570451436,,
81,University of Arizona,43043,0.6562777285,,
82,Southwest University of Visual Arts-Tucson,28146,0.3382899628,,
83,Central Arizona College,23659.5,0.2935548842,,
84,Brown Mackie College-Tucson,16797,0.2254649322,,
85,Charles of Italy Beauty College,14913,0.4418604651,,
86,Cochise County Community College District,20864,0.4121863799,,
87,Empire Beauty School-Flagstaff,15061,0.2978723404,,
88,Empire Beauty School-Chandler,15061,0.2978723404,,
89,Cortiva Institute-Tucson,17866,0.4471153846,,
90,Avalon School of Cosmetology-Mesa,23353,0.3393708294,,
91,Eastern Arizona College,18854,PrivacySuppressed,,
92,Embry-Riddle Aeronautical University-Prescott,38662,0.6444394213,,
93,School of Architecture at Taliesin,,PrivacySuppressed,,
94,Glendale Community College,22267,0.3519480519,,
95,Grand Canyon University,29879,0.3519825032,,
96,Olympian Academy of Cosmetology,15529,0.2716794731,,
97,GateWay Community College,21260,0.3201856148,,
98,Mesa Community College,22608.5,0.3394398821,,
99,Mohave Community College,19727,0.3657243816,,
100,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,26362,0.410058855,,
101,Dine College,14495,,,
102,Northern Arizona University,41212,0.5577914855,,
103,Northland Pioneer College,14950,,,
104,Ottawa University-Phoenix,37231.5,0.4652137469,,
105,Phoenix College,20661,0.2458264539,,
106,Cortiva Institute-Scottsdale,20356.5,0.5208333333,,
107,Pima Community College,20576,0.3578495184,,
108,Pima Medical Institute-Tucson,21596,0.4626200015,,
109,Pima Medical Institute-Albuquerque,21596,0.4626200015,,
110,Prescott College,26676,0.525390625,1089.0,25.0
111,Refrigeration School Inc,21165,0.3662131519,,
112,Rio Salado College,21808.5,0.2287994387,,
113,Roberto-Venn School of Luthiery,26717.5,0.5769230769,,
114,Hair Academy of Safford,2211.5,0.3125,,
115,Scottsdale Community College,22000,0.388720027,,
116,South Mountain Community College,21078,0.2157534247,,
117,Arizona Christian University,36206.5,0.5551470588,963.0,20.0
118,Tucson College,15805,0.2177954847,,
119,Universal Technical Institute of Arizona Inc,28618,0.4811762665,,
120,Western International University,25312,0.3892405063,,
121,Empire Beauty School-NW Phoenix,14091,0.2771362587,,
122,Yavapai College,17699,0.3660079051,,
123,University of Arkansas at Little Rock,27239,0.5772706733,1029.0,22.0
124,University of Arkansas for Medical Sciences,29171.5,0.8074074074,,
125,Arkansas Baptist College,14641,0.2544080605,,
126,Arkansas Beauty School-Little Rock,11328,0.3188405797,,
127,Arkansas Beauty College,14185,0.4186046512,,
128,Lyon College,51394,0.6743295019,1099.0,24.0
129,Arkansas College of Barbering and Hair Design,9512.5,0.3706896552,,
130,Arthur's Beauty College Inc-Fort Smith,15105.5,0.320754717,,
131,University of Arkansas,64201,0.6712301975,1170.0,26.0
132,University of Arkansas at Pine Bluff,22300,0.3661573288,894.0,19.0
133,Arkansas State University-Beebe,24595,0.5303210464,,
134,Arkansas State University-Main Campus,33450,0.5756867329,1090.0,24.0
135,Arkansas Tech University,32169,0.5645795127,,
136,University of Arkansas at Monticello,23351,0.4455292909,,
137,Arthur's Beauty College Inc-Jacksonville,15532,0.4712643678,,
138,Baptist Health College-Little Rock,29617,0.7012987013,970.0,21.0
139,Black River Technical College,20619,0.4469835466,,
140,University of Central Arkansas,37082,0.6233618234,1082.0,24.0
141,Central Baptist College,38278,0.5753424658,1018.0,22.0
142,Cossatot Community College of the University of Arkansas,20384,,,
143,Crowley's Ridge College,47685,0.5267857143,,
144,Crowley's Ridge Technical Institute,12002,,,
145,East Arkansas Community College,18823,0.3229166667,,
146,Eastern College of Health Vocations-Little Rock,11241.5,0.412,,
147,Imagine-Paul Mitchell Partner School,19466,0.4253578732,,
148,National Park College,17464,0.3684210526,,
149,University of Arkansas Community College-Batesville,22454,0.472406181,,
150,Harding University,71055,0.7277023036,1135.0,25.0
151,Henderson State University,30416,0.561760841,1030.0,22.0
152,Hendrix College,64295.5,0.7620320856,1287.0,29.0
153,Hot Springs Beauty College,13946,0.3714285714,,
154,Jefferson Regional Medical Center School of Nursing,24327.5,PrivacySuppressed,,
155,John Brown University,52350.5,0.7462871287,1173.0,26.0
156,Career Academy of Hair Design,17526.5,0.3684210526,,
157,Academy of Salon and Spa,13269,0.396039604,,
158,Arkansas State University Mid-South,16021,,,
159,Arkansas Northeastern College,19292.5,0.4390243902,,
160,New Tyler Barber College Inc,6000,0.3962264151,,
161,North Arkansas College,21388.5,0.4002890173,,
162,Northwest Technical Institute,21612,,,
163,Ouachita Baptist University,62149,0.6861471861,1116.0,25.0
164,College of the Ouachitas,24497,0.4488448845,,
